y,ds
182117,2010-01-01
159489,2010-02-01
198639,2010-03-01
162854,2010-04-01
158039,2010-05-01
157840,2010-06-01
163614,2010-07-01
155877,2010-08-01
161237,2010-09-01
170548,2010-10-01
177278,2010-11-01
184281,2010-12-01
178460,2011-01-01
164830,2011-02-01
177971,2011-03-01
150971,2011-04-01
151154,2011-05-01
155252,2011-06-01
156374,2011-07-01
167500,2011-08-01
162691,2011-09-01
172818,2011-10-01
161710,2011-11-01
161867,2011-12-01
167784,2012-01-01
135965,2012-02-01
145809,2012-03-01
133439,2012-04-01
143984,2012-05-01
149082,2012-06-01
152992,2012-07-01
148795,2012-08-01
139185,2012-09-01
153688,2012-10-01
170988,2012-11-01
154459,2012-12-01
178281,2013-01-01
150818,2013-02-01
152741,2013-03-01
148947,2013-04-01
151832,2013-05-01
152903,2013-06-01
158050,2013-07-01
144487,2013-08-01
135995,2013-09-01
151636,2013-10-01
156745,2013-11-01
157537,2013-12-01
212037,2014-01-01
179472,2014-02-01
176187,2014-03-01
160747,2014-04-01
177049,2014-05-01
179514,2014-06-01
179523,2014-07-01
163277,2014-08-01
159763,2014-09-01
172774,2014-10-01
179224,2014-11-01
174429,2014-12-01
189710,2015-01-01
198246,2015-02-01
205822,2015-03-01
184686,2015-04-01
189625,2015-05-01
200075,2015-06-01
196989,2015-07-01
188009,2015-08-01
184498,2015-09-01
200932,2015-10-01
184873,2015-11-01
177284,2015-12-01
211474,2016-01-01
198427,2016-02-01
196968,2016-03-01
186106,2016-04-01
202393,2016-05-01
208524,2016-06-01
203504,2016-07-01
202213,2016-08-01
189380,2016-09-01
199363,2016-10-01
189023,2016-11-01
204013,2016-12-01
206327,2017-01-01
179196,2017-02-01
206184,2017-03-01
196268,2017-04-01
210164,2017-05-01
218254,2017-06-01
210315,2017-07-01
203762,2017-08-01
208372,2017-09-01
218688,2017-10-01
216004,2017-11-01
218487,2017-12-01
254277,2018-01-01
192235,2018-02-01
222761,2018-03-01
212075,2018-04-01
231804,2018-05-01
235141,2018-06-01
238043,2018-07-01
238695,2018-08-01
229116,2018-09-01
251576,2018-10-01
228639,2018-11-01
213589,2018-12-01
240913,2019-01-01
202429,2019-02-01
222599,2019-03-01
222661,2019-04-01
246044,2019-05-01
246244,2019-06-01
131222,2019-07-01
178772,2019-08-01
181784,2019-09-01
176866,2019-10-01
176730,2019-11-01
167388,2019-12-01
168759,2020-01-01
149338,2020-02-01
157687,2020-03-01
142069,2020-04-01
205656,2020-05-01
277866,2020-06-01
276845,2020-07-01
309695,2020-08-01
253049,2020-09-01
238452,2020-10-01
206018,2020-11-01
205488,2020-12-01
199802,2021-01-01
109221,2021-02-01
